EntrezGeneSymbol1	EntrezGeneSymbol2	score
PSPN	NCR3	0.1350
ABL1	CHST2	0.1349
WNT7A	CCNB1	0.1347
FASLG	EPHA10	0.1347
CHEK1	CASP10	0.1346
CD5L	PROC	0.1346
MAPKAPK5	LIFR	0.1344
ZAP70	ROBO3	0.1343
IFNL1	FGF7	0.1342
FGF9	VEGFC	0.1342
CDC37	KIR3DL2	0.1341
IL27 EBI3	SLPI	0.1340
HGF	ALB	0.1335
RSPO2	CD200R1	0.1335
TYRO3	CSNK2A2 CSNK2B	0.1334
LYVE1	NTN4	0.1334
DPP7	CCL7	0.1334
BCL2L1	DNAJC19	0.1331
NR3C1	IL22RA1	0.1330
PSMD7	PTK2	0.1330
LGALS2	FCN2	0.1330
CTSG	CTGF	0.1329
LIFR	EPHA10	0.1328
CCL20	OPCML	0.1328
CXCL13	PTGS2	0.1326
TNFAIP6	CST1	0.1325
POR	CD207	0.1324
Human-virus	INS	0.1322
IL3RA	GP1BA	0.1322
TFF3	CMPK1	0.1321
LTA LTB	LTA LTB	0.1321
FCGR1A	MMP10	0.1321
DIABLO	OCIAD1	0.1320
IL27 EBI3	PLA2G1B	0.1320
KIT	TPSB2	0.1319
PSMD7	CBX5	0.1318
PSMA1	SLC25A18	0.1317
ADCYAP1	Human-virus	0.1317
TYK2	MMP16	0.1316
TIMP1	CTSD	0.1314
FGF9	EPHA3	0.1314
TNFRSF9	CA4	0.1313
CD207	IL20RA	0.1313
IL24	SH2D1A	0.1313
C1QA C1QB  C1QC	LTA LTB	0.1312
C5	CCL24	0.1311
HGF	INS	0.1311
FCN1	MAPK13	0.1310
NTRK2	NRXN3	0.1309
ARSB	CD300C	0.1309
FAM107A	PAK3	0.1309
MAPT	CAMK1	0.1308
CDK2 CCNA2	TG	0.1307
CDK2 CCNA2	EPS15L1	0.1307
ARSB	EPHA5	0.1307
NCR2	IL34	0.1307
CCL3L1	CCL18	0.1306
ADAMTS5	MFGE8	0.1306
NOV	NRXN3	0.1305
CAT	EPB41	0.1304
CCL25	PLAU	0.1304
LMNB1	MDM2	0.1304
SELE	SELP	0.1303
NAAA	KYNU	0.1302
AZU1	MEPE	0.1301
PAK7	PLG	0.1301
ERBB3	CASP10	0.1299
WIF1	ENTPD3	0.1299
ENTPD3	TNFRSF10A	0.1298
ANGPTL3	DUSP3	0.1297
OLR1	FAM107B	0.1297
ANGPT2	THBS2	0.1295
MAPK13	FAP	0.1294
MMEL1	BIRC7	0.1294
CAMKK1	TPM2	0.1293
CRLF1 CLCF1	PTK2	0.1293
NCR3	CAST	0.1292
LTA	PPIE	0.1292
LAYN	ANG	0.1291
BMPER	DAPK2	0.1291
KLRK1	SIGLEC1	0.1289
CD109	FGF8	0.1289
FGF10	CKB	0.1288
ADAMTS5	FGF17	0.1288
PROK1	AIMP1	0.1287
TNFSF12	IFNL1	0.1287
CFC1	PCSK7	0.1287
TPO	NTF4	0.1287
PTN	FGFR4	0.1287
RPS3	SLAMF6	0.1286
MEPE	CD300C	0.1286
PTK6	HNRNPK	0.1285
PDE2A	CDH15	0.1284
IGFBP5	IGF1	0.1284
GZMH	STAB2	0.1282
C1QA C1QB  C1QC	CHEK2	0.1282
OSM	XCL1	0.1281
KLK11	CXCL3 CXCL2	0.1281
NR3C1	CSNK2A1	0.1281
CD48	MFGE8	0.1280
IDE	CCL22	0.1280
CCL1	NR3C1	0.1279
MDK	SFRP1	0.1279
KIR2DL4	PPIE	0.1279
CHIT1	OLR1	0.1279
IDS	C1S	0.1278
FASLG	CASP2	0.1277
VEGFC	IL6	0.1277
IL2RG	SEZ6L2	0.1276
ABL1	PDE2A	0.1275
SIGLEC6	STAB2	0.1275
HINT1	EIF4EBP2	0.1274
ACE2	CA10	0.1273
IL2	CNTN5	0.1273
TNFRSF10A	LGALS8	0.1271
IL10RB	ACE2	-0.1271
MMEL1	HNRNPAB	0.1271
LEP	CCL7	0.1270
TYRO3	PDXP	0.1267
EDA	BGN	0.1266
CCL14	RARRES2	0.1266
FGF10	IL10RB	0.1265
TNFSF14	SNRPF	0.1264
XRCC6	PAK7	0.1264
CD80	CADM1	0.1262
GOT1	CKAP2	0.1262
NAMPT	PPIE	0.1260
IL1B	CLEC7A	0.1260
CKB	RPS6KA5	0.1259
CAT	GRN	0.1258
C8A C8B C8G	Human-virus	0.1258
NCR2	RASA1	0.1258
HSPA1A	KIR3DS1	0.1255
CD22	SGTA	0.1255
FGF1	CSF2	0.1254
H2AFZ	PSMA2	0.1254
CTSC	ABL2	0.1253
IL12A IL12B	MAPT	0.1252
SERPINC1	F2	0.1252
SERPINA1	CDH15	0.1251
RBM39	IFNL2	0.1251
IL3RA	VEGFA	0.1250
LY9	CXCL10	0.1248
NRXN1	PDE4D	0.1248
CHRDL1	IL17RB	0.1247
CTSG	IL17B	0.1247
CD22	PLA2G10	0.1246
NCR3	DCTN2	0.1246
NMT1	PPIE	0.1245
ADAMTS1	TMPRSS15	0.1245
CHST2	LRRTM3	0.1245
PLA2G10	GSTA3	0.1245
MFGE8	COL23A1	0.1245
FGFR4	MSN	0.1244
PLXNC1	SH2D1A	0.1244
ACVR1B	IFNG	0.1243
AZU1	ARID3A	0.1243
LCK	CASP3	0.1243
HINT1	IL17D	0.1243
CD48	FGF17	0.1241
ABL1	LRRTM3	0.1241
PGLYRP1	CDH15	0.1241
ICAM3	HAPLN1	0.1240
IDS	CTSZ	0.1240
CHST6	MMP14	0.1240
CCL18	SST	0.1239
PDIA3	WNT7A	0.1238
BMP7	DYNLL1	0.1238
ADAMTS1	CXCL13	0.1237
PTN	CHRDL1	0.1237
TNFRSF11B	C7	0.1237
CNTN5	PTGS2	0.1236
NUDCD3	HBA1 HBB	0.1236
LGALS4	MFGE8	0.1236
CCL23	CCL18	0.1235
PON1	NPPA	0.1235
CADM3	BMPER	0.1234
CA6	SCGB2A1	0.1232
FGFR1	SORCS2	0.1231
FGA FGB FGG	TF	0.1231
TPM2	NPPA	0.1231
CMA1	LIN7B	0.1231
CCL4L1	DYNLL1	0.1230
COL23A1	HS6ST1	0.1230
DIABLO	AURKB	0.1229
NANOG	CHST6	0.1229
PROC	BCAR3	0.1229
THBS1	DYNLL1	0.1228
TEC	TGFB2	0.1227
ERBB4	NRXN3	0.1226
C4A C4B	MMP7	-0.1224
CCL8	CD22	0.1223
PRKCI	FGF6	0.1222
CD207	TEC	0.1222
ERP29	CD70	0.1220
NCR2	CDC37	0.1220
TOP1	PDE4D	0.1220
CTSS	BMX	0.1219
EPHA5	SNX4	0.1219
GDF11	NRXN1	0.1218
PAK7	TK1	0.1217
COLEC12	PLCG1	0.1217
TK1	KRT18	0.1216
CCL22	RPSA	0.1215
VEGFA	IL17RD	0.1215
C4A C4B	NXPH1	0.1213
CTSG	CSF2	0.1213
CCL13	PCSK7	0.1213
KLK5	MIF	0.1211
PAK3	DDR1	0.1211
FGF1	IL17B	0.1211
ENTPD3	MMP1	0.1210
NCR1	KIF23	0.1210
TNFSF11	FASLG	0.1210
MST1R	CNDP2	0.1209
SIGLEC6	RPS6KA3	0.1208
L1CAM	GPNMB	0.1208
CAMK1	F5	0.1208
ARG1	ETHE1	0.1207
TNFSF4	ETHE1	0.1207
CDK2 CCNA2	PSME1	0.1206
RGMA	GSTA3	0.1206
SPARC	APP	0.1206
SST	NACA	0.1206
STK16	TNFAIP6	0.1205
AGT	SHBG	0.1204
PLAT	PRL	0.1204
PLXNC1	Human-virus	0.1204
SFRP1	IFNL1	0.1203
PTH	DSC3	0.1203
ACE2	CAMK2B	0.1203
CST5	TNFRSF12A	0.1202
CTSG	PLA2G2E	0.1202
LTA	SPTAN1	0.1202
PCNA	KIRREL3	0.1202
SERPINA7	AFM	0.1201
CNTF	GDF2	0.1201
DYRK3	SERPINA6	0.1201
MAP2K1	CSNK2A2 CSNK2B	0.1200
FASLG	LCK	0.1200
IDUA	NAAA	0.1199
SHH	CXCL1	0.1199
PLA2G2E	FCGR1A	0.1199
ENTPD1	OLR1	0.1194
LGALS4	FGF17	0.1193
ROR1	NTRK2	0.1193
DMP1	TNFRSF6B	0.1192
PDGFC	CSNK2A2 CSNK2B	0.1192
TBK1	CCL24	0.1192
MMP8	PGF	0.1192
CDH1	PLA2G2A	0.1191
FTH1 FTL	PTEN	0.1191
CLEC7A	MAPK11	-0.1191
CSF1	PTK2	0.1190
P4HB	UNC5D	0.1190
SCT	CSF3	0.1190
EIF4EBP2	POMC	0.1189
CAT	AK1	0.1189
FGR	SPTAN1	0.1189
EPO	VIP	0.1188
RPS3	KIR3DL2	0.1188
HS6ST1	CST1	0.1188
DAPK2	PDE2A	0.1188
CSF3R	IL1B	0.1186
CXCL1	KLK6	0.1186
INSR	SELE	0.1185
IL2RA	CTSS	0.1184
ESR1	AGER	0.1184
CA9	RPS3	0.1184
WFIKKN2	CST1	0.1183
ULBP3	ETHE1	0.1183
ARSB	IMPDH1	0.1183
SKP1	H2AFZ	0.1183
GNLY	GZMA	0.1181
FAM107A	Human-virus	0.1181
JAK2	MAP2K4	0.1180
CXCL5	RB1	0.1180
PIGR	SLPI	0.1179
C5	CLEC4M	0.1179
DYNLL1	SAA1	0.1178
TLR4 LY96	DYRK3	0.1178
FGR	LTA	0.1176
IL22	FASLG	0.1176
POMC	FAM107B	0.1175
KIT	GPNMB	0.1175
IGFBP4	STC1	0.1174
FOLH1	SERPINA6	0.1174
ADAM9	TNNI2	0.1173
MFRP	CKB CKM	0.1173
IL2	BCAN	0.1172
CCL22	PI3	0.1172
ANXA1	S100A9	0.1171
CKB CKM	NXPH1	0.1171
SFN	PI3	0.1170
ANGPT2	ACP5	-0.1170
FGF10	HSPA8	0.1168
DDR2	GDF2	0.1168
RPS6KA5	INS	0.1168
IDUA	CTSZ	0.1168
TYMS	PRLR	0.1167
FCAR	NAMPT	0.1167
VEGFC	SCT	0.1167
HP	SPARCL1	-0.1167
PGF	PPA1	0.1166
GPT	EIF4EBP2	0.1166
IL16	DCTPP1	0.1166
CD5L	PTPN2	0.1166
CADM3	TNFRSF10A	0.1165
CXCL13	CCL11	0.1165
CTF1	PYY	0.1164
TNFRSF9	MST1R	0.1164
FGF23	NPPA	0.1164
CA7	LCORL	0.1164
ARSB	MAPK13	0.1162
VIP	RASA1	0.1162
NRCAM	UNC5D	0.1161
HNRNPK	TNFRSF19	0.1161
TFPI	CXCL12	0.1160
TPM1	CRTAM	0.1160
IFNA2	VIP	0.1160
RASA1	POMC	0.1160
CCL22	PRSS22	0.1160
INHBA	SERPINE1	0.1159
ERBB4	HSPA8	0.1159
ESM1	POMC	0.1158
CD300C	CKAP2	0.1158
EPB41	AK1	0.1158
IL20RA	MAP3K7 TAB1	0.1158
FLT3LG	KLK5	0.1157
TNFSF14	SPOCK2	0.1157
IL5	STK17B	0.1156
GOT1	ELANE	0.1156
IL13	AGR2	0.1155
PRKCZ	ULBP2	0.1155
IL12A IL12B	LIFR	0.1155
MATN3	BMPR2	0.1155
POR	GPC5	0.1155
SAA1	CRP	0.1154
CNDP2	LTA4H	0.1154
CNDP2	ANP32B	0.1153
PRDX5	TNFRSF13C	0.1153
LGALS3	FUT5	-0.1153
CGA LHB	POMC	0.1152
Human-virus	SOD1	0.1151
FGF17	COL23A1	0.1151
CD97	RPS6KA5	0.1150
CNDP2	IL7	0.1150
ENTPD1	INSR	0.1149
CDC37	TNFRSF19	-0.1149
CAST	MSLN	0.1149
TLR2	ETHE1	0.1148
LAYN	CA2	0.1147
IDS	CST7	0.1146
IL17F	CDH6	0.1146
XRCC6	PLG	0.1146
CXCL8	MDM2	0.1145
CRLF2	JAM2	0.1145
TNFRSF1A	CA9	0.1144
C3	NTRK1	0.1144
TBP	ENTPD1	0.1143
IL11	IL12B IL23A	0.1143
CNTN1	SERPINF2	0.1143
FGF18	MAPK9	0.1142
EPOR	CGA CGB	0.1140
MST1	TXNDC12	-0.1139
FGF4	FABP5	0.1139
TPO	PSMD7	0.1139
STX1A	TNFRSF11A	0.1139
FLT4	SELE	0.1139
SERPINA3	F2	0.1138
REN	KRT18	0.1138
DDX19B	PDK1	0.1137
GZMA	CNTF	0.1136
Human-virus	CTF1	0.1136
WIF1	KLK6	0.1136
TACSTD2	CTSC	0.1136
TMPRSS15	PLG	0.1135
GZMA	CHIT1	0.1135
IL27 EBI3	CCL24	0.1135
TNFSF18	PDCD1LG2	0.1135
CADM3	PRKAA2 PRKAB2 PRKAG1	0.1133
TGM3	TNFRSF13C	0.1133
CCL17	PLXNC1	0.1133
LEP	FSTL3	0.1132
GCKR	MAP3K7 TAB1	0.1132
CYCS	DSG2	0.1131
CCL27	IL17A	0.1131
XCL1	CBX5	0.1131
NTN4	CLEC7A	0.1131
ARID3A	CCL19	0.1130
SERPINA7	SHBG	0.1130
ADCYAP1	UNC5C	0.1130
SIGLEC7	PFDN5	0.1130
CD209	SELE	-0.1129
MED1	SIGLEC1	0.1129
CXCL13	CAPG	0.1129
SEMA3A	ARSA	0.1129
SIGLEC7	MATK	0.1129
HAPLN1	CSNK2A1	0.1129
NOTCH2	PRKAA1 PRKAB1  PRKAG1	0.1128
EIF4EBP2	EPS15L1	0.1128
AIMP1	BMPR2	0.1128
GHR	ENTPD3	0.1128
REN	FGFR4	0.1127
CCDC80	CD55	0.1126
FLT4	IL1R1	0.1126
HS6ST1	BMPR1A	0.1126
COLEC12	PTH	0.1126
HMOX2	PRKCZ	0.1126
MMEL1	EREG	0.1125
C4A C4B	C4A C4B	0.1125
ARSA	CD200R1	0.1123
CHIT1	GPT	0.1123
HGF	ENTPD1	0.1122
PTPN1	NOTCH3	0.1122
PLAUR	PRKAA1 PRKAB1  PRKAG1	0.1122
WIF1	GHR	0.1122
SGTA	HINT1	0.1122
BSG	BMPER	0.1120
HSPD1	SPOCK1	0.1120
MAPKAPK2	SEZ6L2	0.1119
IL4	TPO	0.1119
INS	LGALS8	0.1119
KLRK1	CCL19	0.1119
EPO	ADAM12	0.1118
NRP1	NOTCH3	0.1118
CTSC	SEMA3A	0.1118
PTN	ADAM9	0.1118
IL12RB2	DYNLL1	0.1117
CD4	ESM1	0.1116
GZMB	TPM2	0.1116
GPC2	ABL2	0.1116
SERPINE2	DYRK3	0.1115
MPO	PRTN3	0.1114
WNT7A	PRKAA1 PRKAB1  PRKAG1	0.1114
FST	KIR3DS1	0.1114
WFIKKN1	NPPA	0.1113
RARRES2	C3	0.1113
CGA TSHB	TNFRSF18	0.1113
CCL2	FLT3	0.1113
JAK2	TNFRSF19	0.1112
EREG	CCL11	0.1111
MRC1	CD163	0.1110
FGF20	CAMKK1	0.1110
IL2	ACAN	0.1109
ALB	CHST6	0.1108
CYCS	CCL3	0.1108
DPT	UCHL1	0.1108
MAPKAPK5	DYNLL1	0.1107
EFNB3	PAK7	0.1107
CCL5	SPARC	0.1107
HMGCR	NPPA	0.1107
DCN	THBS2	0.1106
LTF	RETN	0.1106
NCK1	FAP	0.1105
UBE2I	CD5L	0.1105
LGALS3BP	NR1D1	0.1104
PLA2G2A	CRP	0.1103
FGF20	IL4R	0.1102
TBP	ENTPD3	0.1101
CCL5	APP	0.1101
SAA1	SFN	0.1100
CCL8	MAPKAPK5	0.1100
FGF8	FGF1	0.1100
HBEGF	CD86	0.1100
ADAMTS1	CXCL10	0.1099
CDH5	TEK	0.1099
KLK13	ANGPTL3	0.1098
CAMK2A	CAMK2B	0.1098
CFD	PTPN1	0.1097
BMPR2	PLA2G7	0.1096
SFRP1	PIM1	0.1096
ADAMTS5	CD48	0.1095
CFP	CFH	0.1095
AURKA	PDK1	0.1095
ROR1	HBEGF	0.1095
PROS1	TFPI	0.1094
PSMD7	NTF4	0.1093
IL20	LRRTM3	0.1093
HSD17B1	CSNK2A2 CSNK2B	0.1093
TBP	NPPB	0.1092
PSME1	CD274	0.1092
LYVE1	FOLH1	0.1092
XCL1	TGFBR2	0.1090
CTSB	RBM39	0.1090
CASP3	SKP1	0.1090
PRSS27	IL6	0.1090
C3	CFP	0.1089
RAD51	PDCD1LG2	0.1089
ERBB2	TNFSF4	0.1089
ACE2	RBP4	0.1089
XRCC6	TK1	0.1089
TFF3	IL7R	0.1089
LIFR	TNFRSF19	0.1089
EFNB3	XRCC6	0.1088
CLEC4M	FN1	0.1088
POMC	SLAMF6	0.1088
TIMP1	NTRK1	0.1088
CPB2	TNFRSF18	-0.1088
C8A C8B C8G	GZMH	0.1087
C5	NTN4	0.1087
NME1	AMN	0.1087
DAPK2	DSC3	0.1086
ACY1	IL1A	0.1086
PCSK7	CSNK2A2 CSNK2B	0.1086
TNFRSF1B	PDE4D	0.1086
SHH	STK16	0.1085
IL2RG	SKP1	0.1084
PTN	AURKA	0.1084
OLR1	DYNLL1	0.1084
CXCL6	PRDX5	0.1084
C5	MAP2K2	0.1083
ICAM3	HBA1 HBB	-0.1083
CDKN1B	NTF3	0.1083
BMP6	DAPK2	0.1083
FCN1	IL22RA1	0.1082
MMP1	FGFR4	0.1082
KLK11	CAMK2A	0.1082
HAPLN1	CXCL8	0.1082
LGALS2	CMPK1	0.1082
RAD51	IL19	0.1081
CPE	CCNB1	0.1081
KIR3DL2	BRF1	0.1080
LSAMP	L1CAM	0.1080
C9	MAPK9	0.1079
RET	AGT	0.1077
CTSB	ANGPTL4	0.1077
CCL19	CDNF	0.1076
COLEC12	DSC3	0.1076
CD80	PIK3CA PIK3R1	0.1076
OSM	GZMB	0.1075
KLK14	APOD	0.1074
CYP3A4	AIP	-0.1074
CD207	HNRNPK	0.1074
CD80	KLK8	0.1073
IGHM IGJ IGK@ IGL@	C2	-0.1072
TPO	CAMKK1	0.1072
PLG	TK1	0.1072
AIMP1	PFDN5	0.1071
HBEGF	CSNK2A2 CSNK2B	0.1071
PDGFB	PDGFA	0.1070
PIGR	HNRNPAB	0.1070
IGFBP3	A2M	-0.1069
IL10RB	PTEN	-0.1069
CHST6	INS	0.1068
PLG	TYK2	0.1068
RB1	TNFRSF19	0.1068
PRKACA	XPNPEP1	0.1068
FGA FGB FGG	FGA FGB FGG	0.1067
TNFRSF17	PIGR	-0.1067
PSPN	FGFR2	0.1067
IL5	ESD	0.1066
ANXA2	SLAMF7	0.1066
BPI	RPS27A	0.1064
LIFR	UCHL1	0.1064
PLAT	TNFSF12	0.1063
APOE	IL1A	0.1062
AZU1	NAAA	0.1061
FGF2	TNFSF14	0.1061
ICAM5	TGFBR2	0.1061
C8A C8B C8G	SIGLEC6	0.1061
PRKCQ	EPHA10	0.1061
FGF2	ENG	0.1061
JAM2	FLRT1	0.1061
CKB CKM	IL1A	0.1061
UBE2I	IGHM IGJ IGK@ IGL@	0.1060
PRSS27	TGFB2	0.1060
SORCS2	TNFAIP6	0.1060
NCAM1	OMD	0.1060
AURKB	PRSS27	0.1060
FGF20	FRZB	0.1060
CCL3	NID2	0.1059
ANGPT4	ADAMTS1	0.1059
CRISP3	KLK3	0.1059
TOP1	MDM2	0.1058
FGFR2	SLAMF6	0.1057
STAB2	ZAP70	0.1056
FGA FGB FGG	SET	0.1055
PSMA1	NLGN4X	0.1055
TYRO3	BCL2	0.1055
CCL20	BMP10	0.1055
MST1R	SYNCRIP	0.1055
FCAR	KIR2DL4	0.1055
CTSD	B2M	0.1055
PLG	TYK2	0.1055
SEMA3E	SPOCK2	0.1054
IL2RG	HSD17B1	0.1054
TNFRSF8	AHSG	0.1054
BMPER	PRKAA2 PRKAB2 PRKAG1	0.1053
IL1RL2	MMP1	0.1053
CRLF1 CLCF1	CSF2	0.1052
AIF1	TGFBR2	0.1052
CXCL8	HS6ST1	0.1052
MIA	TGM3	0.1052
PRKCI	NME1	0.1051
RB1	ABL2	0.1051
FCER2	CDH12	0.1050
FCAR	NMT1	0.1050
LRP8	IL17B	0.1050
CDH12	SFTPD	0.1050
DLL4	UNC5D	0.1050
CX3CL1	MMP16	0.1050
PECAM1	CCL1	0.1049
DCTN2	SIGLEC1	0.1049
CDC42BPB	CSF1	0.1049
PTH	BMP6	0.1049
PAFAH1B2	CST5	0.1048
ADAM9	UNC5C	0.1048
CDC37	F3	0.1047
STK17B	ABL2	0.1047
PRKCZ	ADAM12	0.1046
TMPRSS15	H2AFZ	0.1046
FAM107A	CA3	0.1046
IL12A IL12B	TOP1	0.1045
SERPINA7	CNDP1	-0.1044
CST2	CST1	0.1044
NTN4	RGMB	0.1044
TDGF1	CD4	0.1044
IL4	NTF4	0.1043
LGALS4	IFNA2	0.1043
GFRA3	BPI	0.1042
TIMP3	NPPA	0.1042
CXCL5	LMNB1	0.1042
CTLA4	MST1	0.1042
NANOG	SOD2	0.1042
CSF3R	ITGAV ITGB5	-0.1041
TGFB1	TDGF1	0.1040
AZU1	ESD	0.1039
PTK6	CD226	0.1039
PRSS27	SKP1	0.1038
PAK7	RPS6KA3	0.1037
C5	CFB	0.1037
PGLYRP1	PRSS22	0.1036
KREMEN2	LPO	0.1036
SCT	DHH	0.1035
CTSC	HPGD	0.1035
CSNK2A2 CSNK2B	BCAR3	0.1035
IFNGR1	STX1A	0.1035
ACE2	CA6	0.1035
CADM1	DCTN2	0.1034
PRSS3	ETHE1	0.1034
NTRK2	SEMA3E	0.1032
INHBA INHBB	IFNL1	0.1032
APOB	APOE	0.1031
REN	TK1	0.1030
CD97	IFNL1	0.1030
CDC37	MMP13	0.1030
NRP1	MAP2K4	-0.1030
PROC	F10	0.1030
EIF4EBP2	ELANE	0.1029
IL17F	TLR4 LY96	0.1029
KLK3	CBX5	0.1028
LTBR	SIGLEC1	0.1028
TMPRSS15	CA3	0.1028
PRDX6	KRAS	0.1028
GRN	TNFRSF21	0.1028
CTSG	PARK7	0.1027
CSF3	CD27	0.1026
PTK6	DSC3	0.1026
GHR	MAPK8	0.1026
C5	FCN3	0.1026
IDS	TLR4 LY96	0.1025
VCAM1	CXCL5	0.1025
MAP2K4	CD27	0.1025
IL10	ANXA1	0.1024
ADAMTS5	ASGR1	0.1024
CTGF	IL13	0.1024
YES1	CASP10	0.1024
DDC	BRF1	0.1024
CD97	COL23A1	0.1024
Human-virus	MATN3	0.1024
FGF6	AMN	0.1023
CST7	PTPN2	0.1023
CD207	PRSS27	0.1022
HSPA1A	ANXA1	0.1022
POR	ITGA1 ITGB1	0.1022
HSPA1A	GPI	0.1022
DHH	IFNL1	0.1021
AMN	RB1	0.1021
EIF4EBP2	MAP3K7 TAB1	0.1020
IL7	SYNCRIP	0.1020
CD209	PPIB	0.1020
CCL28	MAPKAPK2	0.1019
TEC	DSC3	0.1019
WISP1	F2	0.1018
LYVE1	CD40LG	0.1017
GPC2	CASP10	0.1017
IL17RA	PPA1	0.1017
PROC	SEMA6A	0.1017
CFHR5	PSME1	0.1016
MASP1	CCL7	0.1016
LY86	SLC25A18	0.1015
KLK5	TGFBR2	0.1015
CCL14	EPHA5	0.1015
GFRA3	POMC	0.1014
VIP	POMC	0.1014
PROK1	PSPN	0.1014
POMC	UFM1	0.1014
CAT	GPI	0.1013
FOLH1	BCL2L1	0.1013
CGA TSHB	CD40LG	0.1012
BMP6	TFF3	0.1012
CHRDL1	A2M	0.1012
NBL1	CLEC11A	0.1012
PTK6	GP1BA	0.1011
NCR2	POMC	0.1011
CTF1	STK17B	0.1010
Human-virus	NLGN4X	0.1010
LCMT1	ERP29	0.1010
CD36	SELE	0.1010
CDC37	IL5RA	0.1010
TSLP	SGTA	0.1009
RET	IL1RAPL2	0.1009
SERPINE2	NPPB	0.1008
FABP3	CSNK2A1 CSNK2B	0.1008
CD80	CRISP3	0.1007
ICAM2	GPT	0.1007
KLK7	SFN	0.1007
FGF5	CBX5	-0.1007
POR	PIGR	0.1006
BDNF	HMGB1	0.1005
MATN3	KLK6	0.1005
ICOSLG	CRTAM	0.1004
AIMP1	APOE	-0.1004
C3	SERPINA5	0.1003
CTSV	ANXA2	0.1003
KAT6A	RASA1	0.1003
STK17B	PDE3A	0.1002
C8A C8B C8G	SYNCRIP	0.1002
PPP3R1	KLK14	0.1001
MMP13	TNFRSF19	0.1001
EDA2R	FGR	0.1001
CAPG	TNFRSF21	0.1001
MEPE	ICOSLG	0.1001
CCL13	KIR3DS1	0.1000
HSD17B1	ICOSLG	0.1000
CTSS	MAPKAPK2	0.1000
KLK3	MIF	0.1000
IGFBP6	MFGE8	0.1000
PDGFC	ATP5B	0.0998
MDK	CHST2	0.0998
BCL2	CAPG	0.0998
CCL4L1	CXCL11	0.0998
RPSA	MAPK12	0.0998
C3	PRDX6	0.0998
PROC	F7	0.0998
CKM	TNNI2	0.0997
CDK2 CCNA2	IFNL2	0.0996
FASLG	HBEGF	0.0996
EFNB3	KIR3DL2	0.0995
TPM1	PDE7A	0.0995
CCL14	CCL23	-0.0995
IL12A IL12B	CSF1R	0.0994
TBK1	SCT	0.0994
NANOG	TGM3	0.0993
KLK6	PDGFC	0.0993
ASGR1	COL23A1	0.0993
TG	FCRL3	0.0993
VEGFC	FGF7	0.0992
PSPN	SLAMF6	0.0992
TIMP1	CST3	0.0992
RPS27A	KIRREL3	0.0991
MAP2K1	BIRC3	0.0991
EFNA4	TPM2	0.0991
OSM	TPM2	0.0990
IL13	TBK1	0.0990
LTBR	CXCL11	0.0990
CSF1R	TNFSF8	0.0990
Human-virus	LIFR	0.0989
ACY1	GPI	0.0989
EDA2R	ICAM5	0.0989
IL13RA1	SERPINA6	0.0988
TNFRSF9	PLA2G1B	0.0988
MICA	LYVE1	0.0988
FGF19	GCG	0.0988
CNTN1	THBS4	0.0987
SPTAN1	PPIE	0.0987
MAPT	IL20	-0.0987
PRKCQ	GPC5	0.0987
NOTCH3	PCSK9	0.0987
CCL27	FGF20	0.0986
CSNK2A1	TNFRSF18	0.0986
CMA1	TG	0.0986
PGLYRP1	CHST6	0.0986
GZMB	CBX5	0.0985
TGFB1	EDA	0.0985
XCL1	TPM2	0.0985
ERBB4	ASAH2	0.0984
ARTN	TNFRSF18	-0.0984
PTH	JAG2	0.0984
TIMP1	PRDX6	0.0983
CDC2 CCNB1	CGA TSHB	0.0983
TNFSF15	CXCL3 CXCL2	0.0982
INS	NRCAM	0.0981
IL15RA	MPL	0.0981
IL37	SCARF2	0.0981
SPTAN1	KLRF1	0.0980
C2	IMPDH1	-0.0979
FGF8	IGFBP3	0.0979
SIGLEC7	OLR1	0.0979
FGF18	CD200R1	0.0978
ENTPD1	SERPINA1	0.0978
CD80	NCR3	0.0978
DNAJB1	SSRP1	0.0977
PGLYRP1	CD200	0.0977
Human-virus	GSTP1	0.0976
CXCL8	MED1	0.0976
CADM1	ALCAM	0.0975
ROR1	CFD	0.0975
NCR2	EIF4EBP2	0.0975
ARG1	FGF17	0.0975
IL12RB1	CCL3L1	0.0975
PRSS3	C3	0.0975
APCS	PROS1	0.0975
CTSS	CBX5	0.0975
GPT	GSN	0.0974
EDA	CALR	0.0974
LRP8	PDGFC	0.0974
CNTN1	PCSK9	0.0973
AIF1	REN	0.0973
DMP1	SPTAN1	0.0972
IL27 EBI3	CTSB	0.0971
DYRK3	DLL1	-0.0971
IL4	BMPER	0.0970
ACE2	PLA2G10	0.0970
IL13	PARK7	0.0969
PTHLH	GFRA1	0.0969
PROS1	IL1A	-0.0969
IGF1	CTSD	0.0969
FCN1	DAPK2	0.0969
CHIT1	MMP12	0.0968
CD4	VIP	0.0968
HPX	CFP	-0.0968
PDCD1LG2	PRKAA1 PRKAB1  PRKAG1	0.0967
C5	FOLH1	0.0967
EIF4EBP2	IFNL2	0.0967
BMP6	IL5	0.0967
PRDX1	NRXN1	0.0967
IFNA2	TK1	0.0966
PTH	LRRTM3	0.0965
IL2RA	PDE3A	0.0965
XRCC6	RPS6KA3	0.0965
MEPE	DNAJC19	0.0965
CASP3	RPS3	0.0965
FGF16	FGF7	0.0964
MDM2	MAPK12	0.0964
TNFSF8	C1QBP	0.0964
HSD17B10	KYNU	0.0963
