GeneID	GeneID2	Score
IGFBP1	IGF2	0.950363196
IGFBP3	IGF2	0.909200969
IGFBP3	IGF1	0.801452785
IGFBP1	IGF1	0.950363196
IGFBP1	IGF1	0.054479419
IGFBP3	IGF1	0.594430993
IGFBP3	IGF1	0.91283293
IGFBP1	IGF1	0.559322034
IGFBP3	IGF1	0.559322034
IGFBP1	IGFBP5	0.914043584
IGFBP3	IGFBP5	0.917675545
IGFBP3	IGFBP5	0.716707022
GNAI1	PSAP	0.904358354
TFR2	TFRC	0.686440678
SERPINE1	PLAT	0.915254237
SERPINE1	PLAT	0.805084746
PLOD3	COLGALT1	0.829297821
PIK3CG	SHC1	0.101694915
PIK3CG	SHC1	0.044794189
PIK3CG	SHC1	0.147699758
PIK3CG	PDPK1	0.248184019
PIK3CG	PDPK1	0.872881356
PIK3CG	PLCB1	0.652542373
AKR1B10	AKR1B1	0.794188862
PRSS1	PRSS2	0.783292978
PRSS2	PRSS1	0.783292978
ZYX	CSRP3	0.360774818
CTSB	PSAP	0.071428571
ASAH1	LTF	0.906779661
DOK2	GFRA2	0.91283293
GFRA2	DOK2	0.91283293
DPYSL2	DPYSL3	0.920096852
CLU	TP53	0.309927361
FGFR1	KL	0.473365617
FGFR1	KL	0.140435835
SDCBP	SDCBP2	0.170702179
COLEC10	COLEC11	0.906779661
PTK2	MMP8	0.053268765
JAK2	PRL	0.904358354
JAK2	PRL	0.544794189
PDCD1LG2	CD274	0.905569007
CD274	PDCD1LG2	0.905569007
SH3GL2	L1CAM	0.904358354
DDX58	MX1	0.921307506
B4GALT1	PRCP	0.904358354
B4GALT1	B4GALT2	0.783292978
CCL19	CCL21	0.906779661
CCL27	CCL21	0.904358354
NTRK2	NTF3	0.946731235
NTRK2	NTF3	0.904358354
NTRK2	NTF3	0.868038741
OGN	OMD	0.915254237
OMD	OGN	0.915254237
FBP2	FBP1	0.783292978
FBP1	FBP2	0.783292978
TNC	ADAM10	0.905569007
PAPPA	IGFBP4	0.909200969
PAPPA	IGFBP4	0.330508475
HSPA5	HLA-G	0.904358354
ADAMTSL2	ADAMTS13	0.920096852
ADAMTS13	ADAMTSL2	0.920096852
FCN2	FCN1	0.904358354
FCN1	FCN2	0.904358354
FCN2	FCN3	0.904358354
FCN1	FCN3	0.904358354
FCN2	FCN3	0.418886199
OLFM1	OLFM2	0.370460048
